index,buying price,maintanence price,doors,capacity (persons),luggage boot size,estimated safety,class
293,3,1,4,5,1,2,0
294,3,1,4,5,2,0,2
295,3,1,4,5,2,1,0
296,3,1,4,5,2,2,0
297,3,1,5,2,0,0,2
298,3,1,5,2,0,1,2
299,3,1,5,2,0,2,2
300,3,1,5,2,1,0,2
301,3,1,5,2,1,1,2
302,3,1,5,2,1,2,2
303,3,1,5,2,2,0,2
304,3,1,5,2,2,1,2
305,3,1,5,2,2,2,2
306,3,1,5,4,0,0,2
307,3,1,5,4,0,1,2
308,3,1,5,4,0,2,0
309,3,1,5,4,1,0,2
310,3,1,5,4,1,1,0
311,3,1,5,4,1,2,0
312,3,1,5,4,2,0,2
313,3,1,5,4,2,1,0
314,3,1,5,4,2,2,0
315,3,1,5,5,0,0,2
316,3,1,5,5,0,1,2
317,3,1,5,5,0,2,0
318,3,1,5,5,1,0,2
319,3,1,5,5,1,1,0
320,3,1,5,5,1,2,0
321,3,1,5,5,2,0,2
322,3,1,5,5,2,1,0
323,3,1,5,5,2,2,0
324,3,0,2,2,0,0,2
325,3,0,2,2,0,1,2
326,3,0,2,2,0,2,2
327,3,0,2,2,1,0,2
328,3,0,2,2,1,1,2
329,3,0,2,2,1,2,2
330,3,0,2,2,2,0,2
331,3,0,2,2,2,1,2
332,3,0,2,2,2,2,2
333,3,0,2,4,0,0,2
334,3,0,2,4,0,1,2
335,3,0,2,4,0,2,0
336,3,0,2,4,1,0,2
337,3,0,2,4,1,1,2
338,3,0,2,4,1,2,0
339,3,0,2,4,2,0,2
340,3,0,2,4,2,1,0
341,3,0,2,4,2,2,0
342,3,0,2,5,0,0,2
343,3,0,2,5,0,1,2
344,3,0,2,5,0,2,2
345,3,0,2,5,1,0,2
346,3,0,2,5,1,1,2
347,3,0,2,5,1,2,0
348,3,0,2,5,2,0,2
349,3,0,2,5,2,1,0
350,3,0,2,5,2,2,0
351,3,0,3,2,0,0,2
352,3,0,3,2,0,1,2
353,3,0,3,2,0,2,2
354,3,0,3,2,1,0,2
355,3,0,3,2,1,1,2
356,3,0,3,2,1,2,2
357,3,0,3,2,2,0,2
358,3,0,3,2,2,1,2
359,3,0,3,2,2,2,2
360,3,0,3,4,0,0,2
361,3,0,3,4,0,1,2
362,3,0,3,4,0,2,0
363,3,0,3,4,1,0,2
364,3,0,3,4,1,1,2
365,3,0,3,4,1,2,0
366,3,0,3,4,2,0,2
367,3,0,3,4,2,1,0
368,3,0,3,4,2,2,0
369,3,0,3,5,0,0,2
370,3,0,3,5,0,1,2
371,3,0,3,5,0,2,0
372,3,0,3,5,1,0,2
373,3,0,3,5,1,1,0
374,3,0,3,5,1,2,0
375,3,0,3,5,2,0,2
376,3,0,3,5,2,1,0
377,3,0,3,5,2,2,0
378,3,0,4,2,0,0,2
379,3,0,4,2,0,1,2
380,3,0,4,2,0,2,2
381,3,0,4,2,1,0,2
382,3,0,4,2,1,1,2
383,3,0,4,2,1,2,2
384,3,0,4,2,2,0,2
385,3,0,4,2,2,1,2
386,3,0,4,2,2,2,2
387,3,0,4,4,0,0,2
388,3,0,4,4,0,1,2
389,3,0,4,4,0,2,0
390,3,0,4,4,1,0,2
391,3,0,4,4,1,1,0
392,3,0,4,4,1,2,0
393,3,0,4,4,2,0,2
394,3,0,4,4,2,1,0
395,3,0,4,4,2,2,0
396,3,0,4,5,0,0,2
397,3,0,4,5,0,1,2
398,3,0,4,5,0,2,0
399,3,0,4,5,1,0,2
400,3,0,4,5,1,1,0
401,3,0,4,5,1,2,0
402,3,0,4,5,2,0,2
403,3,0,4,5,2,1,0
404,3,0,4,5,2,2,0
405,3,0,5,2,0,0,2
406,3,0,5,2,0,1,2
407,3,0,5,2,0,2,2
408,3,0,5,2,1,0,2
409,3,0,5,2,1,1,2
410,3,0,5,2,1,2,2
411,3,0,5,2,2,0,2
412,3,0,5,2,2,1,2
413,3,0,5,2,2,2,2
414,3,0,5,4,0,0,2
415,3,0,5,4,0,1,2
416,3,0,5,4,0,2,0
417,3,0,5,4,1,0,2
418,3,0,5,4,1,1,0
419,3,0,5,4,1,2,0
420,3,0,5,4,2,0,2
421,3,0,5,4,2,1,0
422,3,0,5,4,2,2,0
423,3,0,5,5,0,0,2
424,3,0,5,5,0,1,2
425,3,0,5,5,0,2,0
426,3,0,5,5,1,0,2
427,3,0,5,5,1,1,0
428,3,0,5,5,1,2,0
429,3,0,5,5,2,0,2
430,3,0,5,5,2,1,0
431,3,0,5,5,2,2,0
432,2,3,2,2,0,0,2
433,2,3,2,2,0,1,2
434,2,3,2,2,0,2,2
435,2,3,2,2,1,0,2
436,2,3,2,2,1,1,2
437,2,3,2,2,1,2,2
438,2,3,2,2,2,0,2
439,2,3,2,2,2,1,2
440,2,3,2,2,2,2,2
441,2,3,2,4,0,0,2
442,2,3,2,4,0,1,2
443,2,3,2,4,0,2,2
444,2,3,2,4,1,0,2
445,2,3,2,4,1,1,2
446,2,3,2,4,1,2,2
447,2,3,2,4,2,0,2
448,2,3,2,4,2,1,2
449,2,3,2,4,2,2,2
450,2,3,2,5,0,0,2
451,2,3,2,5,0,1,2
452,2,3,2,5,0,2,2
453,2,3,2,5,1,0,2
454,2,3,2,5,1,1,2
455,2,3,2,5,1,2,2
456,2,3,2,5,2,0,2
457,2,3,2,5,2,1,2
458,2,3,2,5,2,2,2
459,2,3,3,2,0,0,2
460,2,3,3,2,0,1,2
461,2,3,3,2,0,2,2
462,2,3,3,2,1,0,2
463,2,3,3,2,1,1,2
464,2,3,3,2,1,2,2
465,2,3,3,2,2,0,2
466,2,3,3,2,2,1,2
467,2,3,3,2,2,2,2
468,2,3,3,4,0,0,2
469,2,3,3,4,0,1,2
470,2,3,3,4,0,2,2
471,2,3,3,4,1,0,2
472,2,3,3,4,1,1,2
473,2,3,3,4,1,2,2
474,2,3,3,4,2,0,2
475,2,3,3,4,2,1,2
476,2,3,3,4,2,2,2
477,2,3,3,5,0,0,2
478,2,3,3,5,0,1,2
479,2,3,3,5,0,2,2
480,2,3,3,5,1,0,2
481,2,3,3,5,1,1,2
482,2,3,3,5,1,2,2
483,2,3,3,5,2,0,2
484,2,3,3,5,2,1,2
485,2,3,3,5,2,2,2
486,2,3,4,2,0,0,2
487,2,3,4,2,0,1,2
488,2,3,4,2,0,2,2
489,2,3,4,2,1,0,2
490,2,3,4,2,1,1,2
491,2,3,4,2,1,2,2
492,2,3,4,2,2,0,2
493,2,3,4,2,2,1,2
494,2,3,4,2,2,2,2
495,2,3,4,4,0,0,2
496,2,3,4,4,0,1,2
497,2,3,4,4,0,2,2
498,2,3,4,4,1,0,2
499,2,3,4,4,1,1,2
500,2,3,4,4,1,2,2
501,2,3,4,4,2,0,2
502,2,3,4,4,2,1,2
503,2,3,4,4,2,2,2
504,2,3,4,5,0,0,2
505,2,3,4,5,0,1,2
506,2,3,4,5,0,2,2
507,2,3,4,5,1,0,2
508,2,3,4,5,1,1,2
509,2,3,4,5,1,2,2
510,2,3,4,5,2,0,2
511,2,3,4,5,2,1,2
512,2,3,4,5,2,2,2
513,2,3,5,2,0,0,2
514,2,3,5,2,0,1,2
515,2,3,5,2,0,2,2
516,2,3,5,2,1,0,2
517,2,3,5,2,1,1,2
518,2,3,5,2,1,2,2
519,2,3,5,2,2,0,2
520,2,3,5,2,2,1,2
521,2,3,5,2,2,2,2
522,2,3,5,4,0,0,2
523,2,3,5,4,0,1,2
524,2,3,5,4,0,2,2
525,2,3,5,4,1,0,2
526,2,3,5,4,1,1,2
527,2,3,5,4,1,2,2
528,2,3,5,4,2,0,2
529,2,3,5,4,2,1,2
530,2,3,5,4,2,2,2
531,2,3,5,5,0,0,2
532,2,3,5,5,0,1,2
533,2,3,5,5,0,2,2
534,2,3,5,5,1,0,2
535,2,3,5,5,1,1,2
536,2,3,5,5,1,2,2
537,2,3,5,5,2,0,2
538,2,3,5,5,2,1,2
539,2,3,5,5,2,2,2
540,2,2,2,2,0,0,2
541,2,2,2,2,0,1,2
542,2,2,2,2,0,2,2
543,2,2,2,2,1,0,2
544,2,2,2,2,1,1,2
545,2,2,2,2,1,2,2
546,2,2,2,2,2,0,2
547,2,2,2,2,2,1,2
548,2,2,2,2,2,2,2
549,2,2,2,4,0,0,2
550,2,2,2,4,0,1,2
551,2,2,2,4,0,2,0
552,2,2,2,4,1,0,2
553,2,2,2,4,1,1,2
554,2,2,2,4,1,2,0
555,2,2,2,4,2,0,2
556,2,2,2,4,2,1,0
557,2,2,2,4,2,2,0
558,2,2,2,5,0,0,2
559,2,2,2,5,0,1,2
560,2,2,2,5,0,2,2
561,2,2,2,5,1,0,2
562,2,2,2,5,1,1,2
563,2,2,2,5,1,2,0
564,2,2,2,5,2,0,2
565,2,2,2,5,2,1,0
566,2,2,2,5,2,2,0
567,2,2,3,2,0,0,2
568,2,2,3,2,0,1,2
569,2,2,3,2,0,2,2
570,2,2,3,2,1,0,2
571,2,2,3,2,1,1,2
572,2,2,3,2,1,2,2
573,2,2,3,2,2,0,2
574,2,2,3,2,2,1,2
575,2,2,3,2,2,2,2
576,2,2,3,4,0,0,2
577,2,2,3,4,0,1,2
578,2,2,3,4,0,2,0
579,2,2,3,4,1,0,2
580,2,2,3,4,1,1,2
581,2,2,3,4,1,2,0
582,2,2,3,4,2,0,2
583,2,2,3,4,2,1,0
584,2,2,3,4,2,2,0
585,2,2,3,5,0,0,2
586,2,2,3,5,0,1,2
587,2,2,3,5,0,2,0
588,2,2,3,5,1,0,2
589,2,2,3,5,1,1,0
590,2,2,3,5,1,2,0
591,2,2,3,5,2,0,2
592,2,2,3,5,2,1,0
593,2,2,3,5,2,2,0
594,2,2,4,2,0,0,2
595,2,2,4,2,0,1,2
596,2,2,4,2,0,2,2
597,2,2,4,2,1,0,2
598,2,2,4,2,1,1,2
599,2,2,4,2,1,2,2
600,2,2,4,2,2,0,2
601,2,2,4,2,2,1,2
602,2,2,4,2,2,2,2
603,2,2,4,4,0,0,2
604,2,2,4,4,0,1,2
605,2,2,4,4,0,2,0
606,2,2,4,4,1,0,2
607,2,2,4,4,1,1,0
608,2,2,4,4,1,2,0
609,2,2,4,4,2,0,2
610,2,2,4,4,2,1,0
611,2,2,4,4,2,2,0
612,2,2,4,5,0,0,2
613,2,2,4,5,0,1,2
614,2,2,4,5,0,2,0
615,2,2,4,5,1,0,2
616,2,2,4,5,1,1,0
617,2,2,4,5,1,2,0
618,2,2,4,5,2,0,2
619,2,2,4,5,2,1,0
620,2,2,4,5,2,2,0
621,2,2,5,2,0,0,2
622,2,2,5,2,0,1,2
623,2,2,5,2,0,2,2
624,2,2,5,2,1,0,2
625,2,2,5,2,1,1,2
626,2,2,5,2,1,2,2
627,2,2,5,2,2,0,2
628,2,2,5,2,2,1,2
629,2,2,5,2,2,2,2
630,2,2,5,4,0,0,2
631,2,2,5,4,0,1,2
632,2,2,5,4,0,2,0
633,2,2,5,4,1,0,2
634,2,2,5,4,1,1,0
635,2,2,5,4,1,2,0
636,2,2,5,4,2,0,2
637,2,2,5,4,2,1,0
638,2,2,5,4,2,2,0
639,2,2,5,5,0,0,2
640,2,2,5,5,0,1,2
641,2,2,5,5,0,2,0
642,2,2,5,5,1,0,2
643,2,2,5,5,1,1,0
644,2,2,5,5,1,2,0
645,2,2,5,5,2,0,2
646,2,2,5,5,2,1,0
647,2,2,5,5,2,2,0
648,2,1,2,2,0,0,2
649,2,1,2,2,0,1,2
650,2,1,2,2,0,2,2
651,2,1,2,2,1,0,2
652,2,1,2,2,1,1,2
653,2,1,2,2,1,2,2
654,2,1,2,2,2,0,2
655,2,1,2,2,2,1,2
656,2,1,2,2,2,2,2
657,2,1,2,4,0,0,2
658,2,1,2,4,0,1,2
659,2,1,2,4,0,2,0
660,2,1,2,4,1,0,2
661,2,1,2,4,1,1,2
662,2,1,2,4,1,2,0
663,2,1,2,4,2,0,2
664,2,1,2,4,2,1,0
665,2,1,2,4,2,2,0
666,2,1,2,5,0,0,2
667,2,1,2,5,0,1,2
668,2,1,2,5,0,2,2
669,2,1,2,5,1,0,2
670,2,1,2,5,1,1,2
671,2,1,2,5,1,2,0
672,2,1,2,5,2,0,2
673,2,1,2,5,2,1,0
674,2,1,2,5,2,2,0
675,2,1,3,2,0,0,2
676,2,1,3,2,0,1,2
677,2,1,3,2,0,2,2
678,2,1,3,2,1,0,2
679,2,1,3,2,1,1,2
680,2,1,3,2,1,2,2
681,2,1,3,2,2,0,2
682,2,1,3,2,2,1,2
683,2,1,3,2,2,2,2
684,2,1,3,4,0,0,2
685,2,1,3,4,0,1,2
686,2,1,3,4,0,2,0
687,2,1,3,4,1,0,2
688,2,1,3,4,1,1,2
689,2,1,3,4,1,2,0
690,2,1,3,4,2,0,2
691,2,1,3,4,2,1,0
692,2,1,3,4,2,2,0
693,2,1,3,5,0,0,2
694,2,1,3,5,0,1,2
695,2,1,3,5,0,2,0
696,2,1,3,5,1,0,2
697,2,1,3,5,1,1,0
698,2,1,3,5,1,2,0
699,2,1,3,5,2,0,2
700,2,1,3,5,2,1,0
701,2,1,3,5,2,2,0
702,2,1,4,2,0,0,2
703,2,1,4,2,0,1,2
704,2,1,4,2,0,2,2
705,2,1,4,2,1,0,2
706,2,1,4,2,1,1,2
707,2,1,4,2,1,2,2
708,2,1,4,2,2,0,2
709,2,1,4,2,2,1,2
710,2,1,4,2,2,2,2
711,2,1,4,4,0,0,2
712,2,1,4,4,0,1,2
713,2,1,4,4,0,2,0
714,2,1,4,4,1,0,2
715,2,1,4,4,1,1,0
716,2,1,4,4,1,2,0
717,2,1,4,4,2,0,2
718,2,1,4,4,2,1,0
719,2,1,4,4,2,2,0
720,2,1,4,5,0,0,2
721,2,1,4,5,0,1,2
722,2,1,4,5,0,2,0
723,2,1,4,5,1,0,2
724,2,1,4,5,1,1,0
725,2,1,4,5,1,2,0
726,2,1,4,5,2,0,2
727,2,1,4,5,2,1,0
728,2,1,4,5,2,2,0
729,2,1,5,2,0,0,2
730,2,1,5,2,0,1,2
731,2,1,5,2,0,2,2
732,2,1,5,2,1,0,2
733,2,1,5,2,1,1,2
734,2,1,5,2,1,2,2
735,2,1,5,2,2,0,2
736,2,1,5,2,2,1,2
737,2,1,5,2,2,2,2
738,2,1,5,4,0,0,2
739,2,1,5,4,0,1,2
740,2,1,5,4,0,2,0
741,2,1,5,4,1,0,2
742,2,1,5,4,1,1,0
743,2,1,5,4,1,2,0
744,2,1,5,4,2,0,2
745,2,1,5,4,2,1,0
746,2,1,5,4,2,2,0
747,2,1,5,5,0,0,2
748,2,1,5,5,0,1,2
749,2,1,5,5,0,2,0
750,2,1,5,5,1,0,2
751,2,1,5,5,1,1,0
752,2,1,5,5,1,2,0
753,2,1,5,5,2,0,2
754,2,1,5,5,2,1,0
755,2,1,5,5,2,2,0
756,2,0,2,2,0,0,2
757,2,0,2,2,0,1,2
758,2,0,2,2,0,2,2
759,2,0,2,2,1,0,2
760,2,0,2,2,1,1,2
761,2,0,2,2,1,2,2
762,2,0,2,2,2,0,2
763,2,0,2,2,2,1,2
764,2,0,2,2,2,2,2
765,2,0,2,4,0,0,2
766,2,0,2,4,0,1,2
767,2,0,2,4,0,2,0
768,2,0,2,4,1,0,2
769,2,0,2,4,1,1,2
770,2,0,2,4,1,2,0
771,2,0,2,4,2,0,2
772,2,0,2,4,2,1,0
773,2,0,2,4,2,2,0
774,2,0,2,5,0,0,2
775,2,0,2,5,0,1,2
776,2,0,2,5,0,2,2
777,2,0,2,5,1,0,2
778,2,0,2,5,1,1,2
779,2,0,2,5,1,2,0
780,2,0,2,5,2,0,2
781,2,0,2,5,2,1,0
782,2,0,2,5,2,2,0
783,2,0,3,2,0,0,2
784,2,0,3,2,0,1,2
785,2,0,3,2,0,2,2
786,2,0,3,2,1,0,2
787,2,0,3,2,1,1,2
788,2,0,3,2,1,2,2
789,2,0,3,2,2,0,2
790,2,0,3,2,2,1,2
791,2,0,3,2,2,2,2
792,2,0,3,4,0,0,2
793,2,0,3,4,0,1,2
794,2,0,3,4,0,2,0
795,2,0,3,4,1,0,2
796,2,0,3,4,1,1,2
797,2,0,3,4,1,2,0
798,2,0,3,4,2,0,2
799,2,0,3,4,2,1,0
800,2,0,3,4,2,2,0
801,2,0,3,5,0,0,2
802,2,0,3,5,0,1,2
803,2,0,3,5,0,2,0
804,2,0,3,5,1,0,2
805,2,0,3,5,1,1,0
806,2,0,3,5,1,2,0
807,2,0,3,5,2,0,2
808,2,0,3,5,2,1,0
809,2,0,3,5,2,2,0
810,2,0,4,2,0,0,2
811,2,0,4,2,0,1,2
812,2,0,4,2,0,2,2
813,2,0,4,2,1,0,2
814,2,0,4,2,1,1,2
815,2,0,4,2,1,2,2
816,2,0,4,2,2,0,2
817,2,0,4,2,2,1,2
818,2,0,4,2,2,2,2
819,2,0,4,4,0,0,2
820,2,0,4,4,0,1,2
821,2,0,4,4,0,2,0
822,2,0,4,4,1,0,2
823,2,0,4,4,1,1,0
824,2,0,4,4,1,2,0
825,2,0,4,4,2,0,2
826,2,0,4,4,2,1,0
827,2,0,4,4,2,2,0
828,2,0,4,5,0,0,2
829,2,0,4,5,0,1,2
830,2,0,4,5,0,2,0
831,2,0,4,5,1,0,2
832,2,0,4,5,1,1,0
833,2,0,4,5,1,2,0
834,2,0,4,5,2,0,2
835,2,0,4,5,2,1,0
836,2,0,4,5,2,2,0
837,2,0,5,2,0,0,2
838,2,0,5,2,0,1,2
839,2,0,5,2,0,2,2
840,2,0,5,2,1,0,2
841,2,0,5,2,1,1,2
842,2,0,5,2,1,2,2
843,2,0,5,2,2,0,2
844,2,0,5,2,2,1,2
845,2,0,5,2,2,2,2
846,2,0,5,4,0,0,2
847,2,0,5,4,0,1,2
848,2,0,5,4,0,2,0
849,2,0,5,4,1,0,2
850,2,0,5,4,1,1,0
851,2,0,5,4,1,2,0
852,2,0,5,4,2,0,2
853,2,0,5,4,2,1,0
854,2,0,5,4,2,2,0
855,2,0,5,5,0,0,2
856,2,0,5,5,0,1,2
857,2,0,5,5,0,2,0
858,2,0,5,5,1,0,2
859,2,0,5,5,1,1,0
860,2,0,5,5,1,2,0
861,2,0,5,5,2,0,2
862,2,0,5,5,2,1,0
863,2,0,5,5,2,2,0
864,1,3,2,2,0,0,2
865,1,3,2,2,0,1,2
866,1,3,2,2,0,2,2
867,1,3,2,2,1,0,2
868,1,3,2,2,1,1,2
869,1,3,2,2,1,2,2
