,unacc,acc,good
218,86.0,8.0,6.0
219,63.0,11.0,26.0
220,69.0,12.0,19.0
221,64.0,10.0,26.0
222,77.0,3.0,20.0
223,64.0,34.0,2.0
224,73.0,14.0,13.0
225,57.0,43.0,0.0
226,92.0,8.0,0.0
227,83.0,17.0,0.0
228,67.0,11.0,22.0
229,54.0,25.0,21.0
230,51.0,11.0,38.0
231,52.0,11.0,37.0
232,2.0,40.0,58.0
233,62.0,17.0,21.0
234,55.0,17.0,28.0
235,54.0,17.0,29.0
236,57.0,16.0,27.0
237,31.0,29.0,40.0
238,8.0,90.0,2.0
239,53.0,39.0,8.0
240,10.0,88.0,2.0
241,89.0,10.0,1.0
242,44.0,29.0,27.0
243,82.0,14.0,4.0
244,85.0,2.0,13.0
245,13.0,35.0,52.0
246,75.0,4.0,21.0
247,17.0,34.0,49.0
248,76.0,14.0,10.0
249,19.0,68.0,13.0
250,58.0,25.0,17.0
251,34.0,16.0,50.0
252,7.0,13.0,80.0
253,54.0,17.0,29.0
254,31.0,29.0,40.0
255,35.0,26.0,39.0
256,94.0,4.0,2.0
257,7.0,16.0,77.0
258,78.0,11.0,11.0
259,7.0,52.0,41.0
260,89.0,11.0,0.0
261,66.0,12.0,22.0
262,64.0,10.0,26.0
263,70.0,11.0,19.0
264,17.0,7.0,76.0
265,62.0,9.0,29.0
